,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,followers,Tweet
1575,jspmaruthigoud,2022-09-21 16:32:36+00:00,0.0,,0.0,0.0,1.572624850237395e+18,https://twitter.com/jspmaruthigoud/status/1572624850237394944,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdMV7LYaAAEMEJE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV7LYaAAEMEJE?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdMV70naAAA8n9Q?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV70naAAA8n9Q?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdMV8lZaEAAQQU5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV8lZaEAAQQU5?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdMV9RHagAAm_Uc?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV9RHagAAm_Uc?format=jpg&name=large')]",janasena,13.0,@RayapatiAruna @PawanKalyan Hi @RayapatiAruna garu i am bandapellimaruthigoud janasena party active member https://t.co/7HNXZCgKNk
1576,sgogireddy00,2022-09-21 16:32:33+00:00,16.0,,2.0,0.0,1.5726248373651087e+18,https://twitter.com/sgogireddy00/status/1572624837365108744,,,,janasena,3249.0,@JanaSenaParty @PawanKalyan కుక్క వచ్చేసింది
1577,LEYANTH8,2022-09-21 16:32:32+00:00,1.0,,0.0,0.0,1.572624832864596e+18,https://twitter.com/LEYANTH8/status/1572624832864595968,,,,janasena,38.0,"@kuralo_karivepa Siggu atmabimanam viluvalu evi ey ycp nayakula dictionary lo ney levu manam cheppi kuda waste lae akka
@JanaSAInikBvrm @kishan_Janasena @JanaSenaParty @PawanKalyan @AyanPawanist_ @RayapatiAruna @NagaBabuOffl @keerthiJSP @Govardhan_JSP @mnadendla @PnHarini @harika_bujji"
1578,JSPShivaPrasad,2022-09-21 16:31:57+00:00,986.0,,255.0,2.0,1.5726246856319345e+18,https://twitter.com/JSPShivaPrasad/status/1572624685631934464,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdMV0DkacAA8lRM?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV0DkacAA8lRM?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FdMV0SAagAI3JDs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMV0SAagAI3JDs?format=jpg&name=large')]",janasena,5803.0,"విశాఖ జిల్లా దక్షిణ నియోజకవర్గం 31వ వార్డుకు చెందిన ధూమ్ బైక్ రెంట్స్ ప్రోపరేటర్ శ్రీరూప గారు @JanaSenaParty అధ్యక్షులు శ్రీ @PawanKalyan సిద్ధాంతాలకు ఆకర్షితులై ఈరోజు పార్టీ జనరల్ సెక్రటరీలు @TSivasankararao గారు మరియు @bolisetti_satya సమక్షంలో పార్టీలో చేరడం జరిగినది
@mnadendla https://t.co/7WT4A9SGkN"
1579,aajayy9,2022-09-21 16:31:46+00:00,1.0,,0.0,0.0,1.5726246408577434e+18,https://twitter.com/aajayy9/status/1572624640857743366,,,,janasena,12.0,@Rohith_3011 @maheshchilukur1 @JanaSenaParty @PawanKalyan Nen entra anandhuku sry ana
1580,keathamreddy,2022-09-21 16:31:44+00:00,328.0,,77.0,1.0,1.5726246318777385e+18,https://twitter.com/keathamreddy/status/1572624631877738497,,"['Day129', 'PawanannaPrajaBata']","[Photo(previewUrl='https://pbs.twimg.com/media/FdMVxFnaAAE3FGB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMVxFnaAAE3FGB?format=jpg&name=large')]",janasena,42657.0,"#Day129 నెల్లూరు సిటీ నియోజకవర్గంలో @JanaSenaParty ఆధ్వర్యంలో జరుగుతున్న ""పవనన్న ప్రజాబాట"" 129 వ రోజు షెడ్యూల్. @PawanKalyan
#PawanannaPrajaBata https://t.co/AAI9GWyQ8I"
1581,sgogireddy00,2022-09-21 16:31:20+00:00,42.0,,1.0,2.0,1.5726245277499474e+18,https://twitter.com/sgogireddy00/status/1572624527749947392,,,,janasena,3249.0,@JanaSenaParty @PawanKalyan వీడు వాడి కుక్కేనని మాకు తెలుసుగా
1582,jspmaruthigoud,2022-09-21 16:31:04+00:00,1.0,,0.0,0.0,1.572624463350616e+18,https://twitter.com/jspmaruthigoud/status/1572624463350616066,,,,janasena,13.0,@RayapatiAruna @PawanKalyan hi @RayapatiAruna garu i am bandapellimaruthigoud janasena party active member telagana
1583,sgogireddy00,2022-09-21 16:30:52+00:00,1.0,,0.0,0.0,1.5726244104604303e+18,https://twitter.com/sgogireddy00/status/1572624410460430338,,,,janasena,3249.0,"@VinuthaKotaa @perni_nani @RojaSelvamaniRK @JanaSenaParty @PawanKalyan @mnadendla @NagaBabuOffl @Cbn_Kota నిన్ను పక్కన కూర్చోపెట్టుకుని హెచ్చరించాడు? తిట్టాడు? అవునా.
సిగ్గుండాల.
నక్సలైట్ అవ్వకూడదని అన్న పార్టీ పెట్టాడు.
ఎక్కడికో పోతాడని 3 పెళ్ళిళ్ళు చేసారు.
ఏందిది ?"
1584,UsthaadPSPKfan,2022-09-21 16:30:38+00:00,0.0,,0.0,0.0,1.5726243543993754e+18,https://twitter.com/UsthaadPSPKfan/status/1572624354399375360,,,,janasena,710.0,@PakkaJanaSena @PawanKalyan @JanaSenaParty Jai Janasena ✊
1585,TorchBearer4AP,2022-09-21 16:29:58+00:00,0.0,,0.0,0.0,1.572624183762514e+18,https://twitter.com/TorchBearer4AP/status/1572624183762513927,,"['TDP', 'Janasena']",,janasena,47.0,"అమరావతి లాగేసుకున్నారు.. 
అన్నా క్యాంటీన్ లు మూయించేసారు
పోలవరం ఆపేశారు
రోడ్లు పనులు ఆపేశారు
ఇసక మాఫియా మొదలు పెట్టారు
రైతుల కడుపు కొట్టారు
భవన నిర్మాణ కార్మికుల పొట్ట కొట్టారు.
భవనాలు కూల్చేశారు
రాష్ట్రాన్ని బీజేపీ కాళ్ళకి తనకా పెట్టేశారు
(1/2)
#TDP #Janasena"
1586,harshaquotes,2022-09-21 16:29:41+00:00,0.0,,0.0,1.0,1.572624114703278e+18,https://twitter.com/harshaquotes/status/1572624114703278082,,,,janasena,30.0,"@GSVSathwik3 @ltsMeJagadeesh @Maha99pspk @JanaSenaParty @PawanKalyan నిజానికి, దేనికి అయినా నాయకులు పేరు పెట్టడానికి కారణం, కొన్ని రాజకీయ కారణాలు ఉంటాయి. దాన్ని కట్టింది ఎవరి సొంత డబ్బుతో కాదు. కామెంట్స్ కొంచం మర్యాద గా పెడితే మంచిది."
1587,eswar_raju2755,2022-09-21 16:29:08+00:00,0.0,,0.0,0.0,1.572623975855063e+18,https://twitter.com/eswar_raju2755/status/1572623975855063042,,,,janasena,1646.0,"@JanaSenaParty @PawanKalyan ఆంధ్ర రాష్ట్రంలో ఉన్న జిల్లాల్లో అన్నిచోట్ల 
జగన్ పేరు పెట్టాలి,"
1588,Dinesh29794,2022-09-21 16:28:19+00:00,0.0,,0.0,1.0,1.5726237696924385e+18,https://twitter.com/Dinesh29794/status/1572623769692438534,,,,janasena,90.0,@jai99801 @Krish86303636 @TheAakashavaani @KChiruTweets 2014 lo TDP adhikaaram lo ki vatchindi Amaravathi rajadhaani prakatinchindi green tribunal lo case vesaadu esindi YCP kaadu puk gaadu bolisetty Sathya Amaravathi lo construction jaragakunda aaa case vesi Amaravathi construction ni aapindhi janasena OOO leka Kulasena oooo
1589,JanaSenani__DHF,2022-09-21 16:27:52+00:00,2.0,,0.0,0.0,1.572623658824405e+18,https://twitter.com/JanaSenani__DHF/status/1572623658824404997,,,,janasena,2529.0,@PakkaJanaSena @PawanKalyan @JanaSenaParty ❤️‍🔥
1590,UttarandhraSena,2022-09-21 16:27:46+00:00,47.0,,11.0,0.0,1.572623630827397e+18,https://twitter.com/UttarandhraSena/status/1572623630827397121,,,"[Photo(previewUrl='https://pbs.twimg.com/media/FdMUkataAAAD7rS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FdMUkataAAAD7rS?format=jpg&name=large')]",janasena,8734.0,"విశాఖ జిల్లా దక్షిణ నియోజకవర్గం 31వ వార్డుకు చెందిన ధూమ్ బైక్ రెంట్స్ ప్రొప్రైటర్ శ్రీరూప గారు @JanaSenaParty సిద్ధాంతాలకు ఆకర్షితులై @JSPShivaPrasad గారి ఆధ్వర్యంలో పార్టీ జనరల్ సెక్రటరీలు @TSivasankararao ,@bolisetti_satya గార్ల సమక్షంలో పార్టీలో జాయిన్ అయ్యారు. https://t.co/dkHnc1OVqt"
